Gene,Btz1,Btz2,X3MA1,X3MA2,Comb1,Comb2,DMSO1,DMSO2,Avg_Btz,Avg_3MA,Avg_Comb,Avg_DMSO,Btz/DMSO,3MA/DMSO,Comb/DMSO,plasma membrane [GO:0005886],cytosol [GO:0005829],extracellular exosome [GO:0070062],mitochondrion [GO:0005739],endosome [GO:0005768],Golgi apparatus [GO:0005794],lysosome [GO:0005764],nucleolus [GO:0005730],nucleoplasm [GO:0005654],endoplasmic reticulum [GO:0005783],peroxisome [GO:0005777],cytoskeleton [GO:0005856],centrosome [GO:0005813],spliceosomal complex [GO:0005681],proteasome complex [GO:0000502],ribosome [GO:0005840],vacuole [GO:0005773]
AOAH,7040032.461,6470399.507,6259256.664,6425554.199,5948095.965,6810338.827,8166028.209,7995392.719,6755215.984,6342405.431,6379217.396,8080710.464,0.835968077,0.784882154,0.789437689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOC1,9792920.044,9721060.241,9576605.054,9374621.307,8999051.102,9804968.312,11283252.49,11653845.11,9756990.142,9475613.181,9402009.707,11468548.8,0.85076066,0.826225998,0.819808144,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AP1B1,26153658.28,22901664.29,18148265.37,19025154.34,19009951.77,20611597.86,25934912.8,26377613.76,24527661.29,18586709.86,19810774.81,26156263.28,0.937735678,0.710602644,0.757400803,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AP1G2,7653462.861,8186309.644,6324010.433,6375470.598,6156338.29,6863305.829,8786515.837,9062146.274,7919886.253,6349740.516,6509822.059,8924331.055,0.887448729,0.711508849,0.729446501,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AP2A1,24240228.82,24134780.28,22151351.91,18906627.48,15682203.17,18531189.09,30008828.21,28183859,24187504.55,20528989.69,17106696.13,29096343.6,0.831290174,0.705552216,0.587932847,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP2A2,9679679.648,8509521.991,6484862.952,6534986.105,6154029.305,6365500.821,10661872.68,10843938.32,9094600.819,6509924.529,6259765.063,10752905.5,0.845780782,0.605410745,0.582146385,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP2B1,14467295.14,13432380.45,9764345.973,10443740.97,9943331.635,10431597.12,14763010.63,15204480.42,13949837.8,10104043.47,10187464.38,14983745.52,0.930998046,0.674333628,0.679901054,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP2M1,21155765.23,20319932.89,17522443.94,17590706.52,16185301.57,17847866.56,25296740.54,25457171.44,20737849.06,17556575.23,17016584.07,25376955.99,0.817192144,0.691831409,0.67055261,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP3B1,23943941.46,22905666.42,15130307.34,16234715.86,15829638.4,17215958.18,24408460.55,23475846.61,23424803.94,15682511.6,16522798.29,23942153.58,0.978391683,0.655016749,0.690113287,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AP3D1,45542121.9,46489124.17,32665141.84,31934706.61,31759682.9,34321161.74,52041524.3,52639576.78,46015623.04,32299924.22,33040422.32,52340550.54,0.879158178,0.6171109,0.631258594,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AP3M1,5756848.025,5563099.03,4268731.954,4210896.962,4371020.138,4460751.113,6243270.801,6369149.232,5659973.527,4239814.458,4415885.626,6306210.016,0.897523792,0.672323701,0.700243984,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
AP3M2,2517457.004,2424650.625,2040489.868,2189769.301,1972835.938,1916699.203,2840976.612,2881060.115,2471053.815,2115129.585,1944767.57,2861018.363,0.863697293,0.739292558,0.679746623,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AP4E1,4901704.722,4706279.253,4487077.943,4836087.079,3835127.048,3928701.809,5555706.98,6091652.998,4803991.987,4661582.511,3881914.428,5823679.989,0.824906588,0.800453067,0.666574131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APAF1,11017321.35,10805771.2,9286056.191,9638667.514,9196579.732,9797644.5,12717508.04,12294151.95,10911546.27,9462361.853,9497112.116,12505829.99,0.872516761,0.756636054,0.759414779,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APBB1,848335.8494,778506.6998,724927.0293,817588.8919,658838.8933,684272.8535,1004773.187,1005604.842,813421.2746,771257.9606,671555.8734,1005189.014,0.809222209,0.767276552,0.668089149,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
APBB1IP,34219860.96,34014803.99,13152481.46,11741080.43,17751243.27,20025678.82,30170001.15,29514362.37,34117332.48,12446780.94,18888461.04,29842181.76,1.143258652,0.417086828,0.632945044,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
APC,13544546.41,12835886.21,9669371.158,10171752.54,9387840.881,9774843.251,17583653.58,16880957.65,13190216.31,9920561.848,9581342.066,17232305.61,0.765435375,0.575695561,0.556010454,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
APEH,3327338.481,2780644.605,3223392.944,2773497.761,2289508.493,2224826.425,4631973.157,4852212.569,3053991.543,2998445.352,2257167.459,4742092.863,0.644017659,0.632304225,0.475985504,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
